0	0
1	12
2	11
3	11
4	12
5	12
6	12
7	2
8	11
9	2
10	1
11	12
12	12
13	1
14	13
15	12
16	12
17	13
18	12
19	12
20	2
21	11
22	12
23	12
24	12
25	2
26	12
27	12
28	2
29	12
30	12
31	2
32	3
33	12
34	11
35	12
36	12
37	13
38	12
39	12
40	11
41	11
42	2
43	11
44	7
45	3
46	11
47	0
48	0
49	4
50	4
51	11
52	0
53	7
54	2
55	2
56	7
57	0
58	11
59	12
60	13
61	7
62	12
63	10
64	2
65	0
66	12
67	4
68	2
69	0
70	12
71	11
72	11
73	2
74	2
75	7
76	11
77	0
78	11
79	11
80	2
81	12
82	11
83	11
84	5
85	10
86	2
87	12
88	12
89	10
90	12
91	12
92	12
93	10
94	12
95	10
96	12
97	3
98	7
99	1
100	5
101	6
102	2
103	11
104	7
105	7
106	11
107	12
108	7
109	0
110	11
111	4
112	0
113	10
114	4
115	7
116	4
117	0
118	7
119	11
120	11
121	11
122	11
123	13
124	12
125	12
126	2
127	12
128	12
129	12
130	2
131	10
132	12
133	12
134	12
135	12
136	12
137	10
138	12
139	2
140	12
141	12
142	13
143	12
144	12
145	13
146	9
147	9
148	12
149	13
150	10
151	10
152	12
153	13
154	12
155	12
156	12
157	12
158	13
159	9
160	12
161	12
162	7
163	12
164	12
165	12
166	12
167	13
168	11
169	12
170	13
171	9
172	12
173	12
174	9
175	9
176	12
177	12
178	11
179	13
180	12
181	9
182	11
183	13
184	7
185	10
186	10
187	2
188	12
189	12
190	10
191	13
192	12
193	9
194	7
195	13
196	13
197	9
198	9
199	9
200	13
201	8
202	11
203	8
204	11
205	13
206	10
207	11
208	9
209	2
210	2
211	10
212	13
213	2
214	11
215	2
216	13
217	9
218	13
219	12
220	12
221	10
222	13
223	13
224	10
225	12
226	9
227	10
228	2
229	2
230	13
231	9
232	13
233	8
234	9
235	9
236	10
237	10
238	2
239	11
240	10
241	13
242	10
243	12
244	10
245	10
246	2
247	13
248	11
249	12
250	12
251	13
252	2
253	2
254	14
255	15
